class	model	mode	config	flags	exit	raw	unique	canon-sha256	note
assert-negative	escapes	validate	declared	-v --search PreferSmallerInstances --minint -8 --maxint 7	0	2	2	c9c47b535a55d0d4ed32cae024d3e74531f8f49eacb3bf49bc4f2c0b0f0b56d0	
assert-positive	age	validate	declared	-v --search PreferSmallerInstances --minint -8 --maxint 7	0	0	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	
assert-positive	assertionsAndScopes	validate	declared	-v --search PreferSmallerInstances --minint -8 --maxint 7	0	0	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	
assert-positive	groupCardInheritance	validate	declared	-v --search PreferSmallerInstances --minint -8 --maxint 7	0	0	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	
assert-positive	groupCardInheritance2	validate	declared	-v --search PreferSmallerInstances --minint -8 --maxint 7	0	0	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	
assert-positive	liftingNestedConstraints	validate	declared	-v --search PreferSmallerInstances --minint -8 --maxint 7	0	0	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	
assert-positive	nestedInheritanceWithReference	validate	declared	-v --search PreferSmallerInstances --minint -8 --maxint 7	0	0	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	
assert-positive	reminder-modulo_division	validate	declared	-v --search PreferSmallerInstances --minint -8 --maxint 7	0	0	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	
failing	ClaferTools_ToolingArchitecture	unsat	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	0	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	instantiate produced 0 instances; minUnsat raised UnsatisfiableException
failing	EAST-ADL-PowerWindow	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	0	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	ReferenceError: "c0_Port" is not defined. 
